city,lat,lng
London,51.4893335,-0.14405508452768728
Paris,48.8534951,2.3483915
Rome,41.8933203,12.4829321
Berlin,52.510885,13.3989367
Madrid,40.4167047,-3.7035825
Barcelona,41.3828939,2.1774322
Amsterdam,52.3730796,4.8924534
Vienna,48.2083537,16.3725042
Prague,50.0596288,14.446459273258009
Lisbon,38.7077507,-9.1365919
Budapest,47.4978789,19.0402383
Brussels,50.8550018,4.3512333761166175
Dublin,53.3493795,-6.2605593
Copenhagen,55.6867243,12.5700724
Stockholm,59.3251172,18.0710935
Oslo,59.9133301,10.7389701
Helsinki,60.1674881,24.9427473
Zurich,47.3744489,8.5410422
Geneva,46.2017559,6.1466014
Athens,33.9597677,-83.376398
Milan,45.4641943,9.1896346
Florence,43.7697955,11.2556404
Munich,48.1371079,11.5753822
Hamburg,53.550341,10.000654
Cologne,43.7218277,0.9774958
Porto,41.1494512,-8.6107884
Valencia,39.4697065,-0.3763353
Nice,43.7009358,7.2683912
Salzburg,47.7981346,13.0464806
Krakow,50.0469432,19.997153435836697
Tallinn,59.4372155,24.7453688
Riga,56.9493977,24.1051846
Vilnius,54.6870458,25.2829111
Ljubljana,46.0500268,14.5069289
Bucharest,44.4361414,26.1027202
Sofia,-15.2538402,48.2562163
Bratislava,48.15926025,17.139658691421687
Pristina,42.6638771,21.1640849
Sarajevo,43.8519774,18.3866868
Tirana,41.3281482,19.8184435
Podgorica,42.4415238,19.2621081
Zagreb,45.84264135,15.962231476593626
Split,43.5116383,16.4399659
Naples,40.8358846,14.2487679
Catania,37.5023612,15.0873718
Malaga,36.7213028,-4.4216366
Seville,37.3886303,-5.9953403
Antwerp,51.2211097,4.3997081
Ghent,51.0538286,3.7250121
Luxembourg City,49.6112768,6.129799
Düsseldorf,51.2254018,6.7763137
