iter	Passed	Remaining
0	2	924
1	3	781
2	4	623
3	5	553
4	6	515
5	7	490
6	8	475
7	8	450
8	10	454
9	11	452
10	12	449
11	12	432
12	13	420
13	14	413
14	15	407
15	16	402
16	16	398
17	17	395
18	18	385
19	19	382
20	19	375
21	20	374
22	21	372
23	22	366
24	23	361
25	23	357
26	24	352
27	24	344
28	25	337
29	25	335
30	26	330
31	27	328
32	27	321
33	29	333
34	30	336
35	31	333
36	32	329
37	32	325
38	33	322
39	33	319
40	34	316
41	35	313
42	35	310
43	36	308
44	37	306
45	37	304
46	38	301
47	39	299
48	39	297
49	40	295
50	40	293
51	41	291
52	42	289
53	42	287
54	43	285
55	44	284
56	45	284
57	45	283
58	46	282
59	47	281
60	48	280
61	48	278
62	49	276
63	49	275
64	50	273
65	51	272
66	51	270
67	52	268
68	53	268
69	54	269
70	54	267
71	55	266
72	56	265
73	57	264
74	57	263
75	58	261
76	58	260
77	59	258
78	60	257
79	60	256
80	61	255
81	62	254
82	62	253
83	63	252
84	64	250
85	64	249
86	65	248
87	66	247
88	66	246
89	67	245
90	68	244
91	68	242
92	69	241
93	69	240
94	70	239
95	71	238
96	71	237
97	79	259
98	80	259
99	81	258
100	82	256
101	82	255
102	83	254
103	84	252
104	84	251
105	85	250
106	85	249
107	86	247
108	87	246
109	87	245
110	88	244
111	89	242
112	89	241
113	90	240
114	91	239
115	91	238
116	92	237
117	93	236
118	94	235
119	94	234
120	95	234
121	97	235
122	98	234
